FAQ_ID,CATEGORY,TITLE,CONTENT,LAST_UPDATED
FAQ-001,返品・交換,返品の条件について,商品到着後7日以内であれば、未開封・未使用の商品に限り返品を承っております。返品をご希望の場合は、マイページの「注文履歴」から該当注文を選択し、「返品申請」ボタンよりお手続きください。なお、以下の場合は返品をお受けできませんのでご了承ください。（1）開封済み・使用済みの商品（2）お客様の責任による汚損・破損がある商品（3）セール品・アウトレット品（4）名入れ・刻印などカスタマイズ商品。返品送料は、お客様都合の場合はお客様負担、当店の不備による場合は当店負担となります。,2025-04-15
FAQ-002,返品・交換,交換手順について,商品の交換をご希望の場合、まずマイページの「注文履歴」から「交換申請」を行ってください。申請後、当店より交換手続きのご案内メールをお送りします。交換品の在庫がある場合は、返送品の到着確認後3営業日以内に代替品を発送いたします。サイズ違い・色違いの交換は1回まで送料無料で承ります。なお、交換品の在庫がない場合は返品扱いとし、全額返金させていただきます。交換申請の有効期限は商品到着後7日以内です。,2025-05-10
FAQ-003,返品・交換,不良品が届いた場合,万が一、不良品や破損した商品が届いた場合は、大変申し訳ございませんが、商品到着後3日以内にカスタマーサポートまでご連絡ください。写真の添付をお願いする場合がございます。確認後、送料当店負担にて交換品をお送りいたします。交換品の在庫がない場合は全額返金対応とさせていただきます。なお、輸送中の破損については配送業者の補償対象となる場合がございますので、外箱の破損がある場合は開封前にお写真をお撮りいただくようお願いいたします。,2025-06-05
FAQ-004,返品・交換,返金のタイミングについて,返品商品の到着確認後、返金処理を行います。クレジットカード決済の場合、返金処理から実際の口座への反映まで、ご利用のカード会社により1〜2ヶ月程度かかる場合がございます。電子マネー決済の場合は、各サービスのポイントとして5営業日以内に返還されます。コンビニ払いの場合は、ご指定の銀行口座へ10営業日以内にお振込みいたします。返金状況はマイページの「返品・返金履歴」からご確認いただけます。,2025-04-20
FAQ-005,返品・交換,クーリングオフについて,通信販売はクーリングオフ制度の適用対象外となっております。ただし、当店では独自の返品ポリシーとして、商品到着後7日以内の未開封品については返品を承っております。また、初回購入のお客様に限り「肌に合わない場合の返品保証」を設けており、使用後でも商品到着後14日以内であれば返品可能です（容器の残量が半分以上の場合に限ります）。詳細は商品ページの「返品保証」マークをご確認ください。,2025-07-01
FAQ-006,返品・交換,定期購入の解約・休止について,定期購入の解約・休止は、次回発送予定日の7日前までにマイページから手続き可能です。「定期購入管理」ページで該当の定期便を選択し、「解約」または「休止」ボタンをクリックしてください。休止の場合、最大3ヶ月間お届けを停止でき、再開も同ページから行えます。なお、初回特別価格でご購入いただいた場合、最低3回の継続が条件となっておりますので、3回目のお届け前の解約には通常価格との差額をご請求させていただく場合がございます。,2025-08-12
FAQ-007,配送,送料について,"通常配送は全国一律550円（税込）です。ご注文金額が5,500円（税込）以上の場合、送料無料となります。お届け先が離島・一部山間部の場合、追加送料として330円を頂戴しております。冷蔵配送が必要な商品（一部のオーガニック美容液等）は、別途クール便料金220円が加算されます。ゴールド・プラチナ会員のお客様は、ご注文金額に関わらず常時送料無料の特典がございます。まとめ買いで送料を節約されることをおすすめいたします。",2025-04-10
FAQ-008,配送,配送日数の目安,ご注文確定後、通常1〜3営業日以内に発送いたします。お届けまでの目安は、関東エリアは発送翌日、関西・中部エリアは発送後2日、北海道・九州・沖縄エリアは発送後3〜4日となっております。年末年始・大型連休・セール期間中は通常より1〜2日お時間をいただく場合がございます。お届け日時の指定も承っておりますので、ご注文時にご希望をお選びください。発送完了後、追跡番号をメールにてお知らせいたします。,2025-05-15
FAQ-009,配送,海外配送について,"現在、海外への配送はEMS（国際スピード郵便）にて承っております。対応地域はアジア・北米・ヨーロッパの主要国です。送料は地域と重量により異なり、アジア圏は1,500円〜、北米・ヨーロッパは3,000円〜となっております。お届けまでの日数は、アジア圏3〜7日、北米・ヨーロッパ7〜14日が目安です。なお、関税・輸入税はお客様のご負担となります。一部の商品（エアゾール製品、アルコール高含有製品等）は国際輸送規制により海外発送不可となっております。",2025-06-20
FAQ-010,配送,ギフト配送について,ギフト配送を承っております。ご注文時に「ギフト配送」オプションを選択してください。ギフト対応として、（1）ギフトラッピング（無料・有料550円の2種類）（2）メッセージカード（50文字以内、無料）（3）納品書への金額記載なし（4）お届け先への直接配送が可能です。有料ラッピングはリボン付きの専用ギフトボックスでお届けします。複数商品をまとめてギフト包装することも可能です。熨斗（のし）対応もございますので、ご希望の場合は注文時の備考欄にてお知らせください。,2025-07-10
FAQ-011,配送,届かない場合の対応,商品が届かない場合、まず発送完了メールに記載の追跡番号で配送状況をご確認ください。「配達完了」と表示されているのに届いていない場合は、（1）ご不在票がポストに入っていないかご確認（2）同居のご家族がお受け取りでないかご確認（3）マンションの宅配ボックスをご確認ください。それでも見つからない場合は、カスタマーサポートまでお問い合わせください。配送業者に調査依頼を行い、紛失が確認された場合は再発送または全額返金にて対応いたします。,2025-09-01
FAQ-012,配送,配送業者の変更について,通常、ヤマト運輸にてお届けしております。一部地域や大型商品については佐川急便でのお届けとなる場合がございます。お届け先の地域や商品サイズにより最適な配送業者を選択しておりますが、特定の配送業者をご希望の場合は、ご注文時の備考欄にてお知らせください。可能な限りご要望にお応えいたしますが、商品の種類や配送先によってはご希望に添えない場合もございますのでご了承ください。コンビニ受取はヤマト運輸のみ対応しております。,2025-08-20
FAQ-013,成分・アレルギー,成分表示の見方,当店で取り扱う化粧品の全成分は、各商品ページの「成分一覧」タブでご確認いただけます。成分は配合量の多い順に記載しております（配合量1%以下の成分は順不同）。特に注意が必要なアレルギー成分（パラベン、エタノール、合成香料、合成着色料等）には「⚠」マークを付けております。また、各成分名をクリックすると、その成分の効果・安全性情報が表示されます。ご不明点は、商品ページの「成分について質問する」ボタンからお気軽にお問い合わせください。,2025-05-01
FAQ-014,成分・アレルギー,アレルギーをお持ちの方へ,アレルギーをお持ちのお客様は、ご使用前に必ず全成分表示をご確認ください。当店では主要なアレルゲン（パラベン、ラノリン、香料、着色料、エタノール等）を含む商品にアレルゲン情報を表示しております。商品検索時に「○○フリー」フィルターをご活用いただくことで、特定の成分を含まない商品のみを表示できます。ご心配な場合は、まずパッチテストを行ってからご使用ください。万が一、使用後に異常が生じた場合は直ちに使用を中止し、皮膚科専門医にご相談ください。,2025-06-10
FAQ-015,成分・アレルギー,パッチテストの方法,新しい化粧品をご使用になる前に、以下の手順でパッチテストを行うことをおすすめします。（1）二の腕の内側など皮膚の柔らかい部分に少量を塗布します（2）そのまま24〜48時間放置します（3）赤み・かゆみ・腫れなどの異常がないことを確認します（4）異常がなければ、フェイスラインなど目立たない部分に少量使用して様子を見ます。特に敏感肌の方、アレルギー体質の方、季節の変わり目は入念にテストしてください。当店の「敏感肌向け」マーク付き商品は、パッチテスト済み処方です。,2025-07-15
FAQ-016,成分・アレルギー,オーガニック認証について,当店の「オーガニック認証」マーク付き商品は、ECOCERT、COSMOS ORGANIC、またはUSDA Organicのいずれかの国際認証を取得しています。認証基準として、天然由来成分95%以上、オーガニック原料10%以上（COSMOS基準）を満たしています。ただし「ナチュラル」「自然派」表記の商品は、天然由来成分を主体としていますが、必ずしもオーガニック認証を取得しているわけではありません。各商品の認証詳細は商品ページの「認証情報」セクションでご確認いただけます。,2025-09-10
FAQ-017,成分・アレルギー,動物実験について,当店で取り扱う全ブランドは動物実験（アニマルテスト）を行っておりません。クルエルティフリーポリシーを掲げ、代替試験法（in vitro試験、ヒトパッチテスト等）を採用しております。Leaping Bunny認証またはPETA認証を取得しているブランドには、商品ページに該当マークを表示しております。ただし、一部の原料サプライヤーが法規制により動物実験を行っている可能性がある地域（一部国の規制要件）への輸出品については、この限りではありません。詳細は各ブランドの公式サイトもご参照ください。,2025-10-01
FAQ-018,成分・アレルギー,使用期限と保管方法,化粧品の使用期限は、未開封の場合は製造後3年間です。開封後の使用期限は商品により異なりますが、一般的にスキンケア製品は6〜12ヶ月、メイク製品は12〜24ヶ月が目安です。商品パッケージに開封後使用期限マーク（開いた容器のイラストと月数）が記載されています。保管は直射日光・高温多湿を避け、常温で保管してください。一部のビタミンC美容液やレチノール製品は冷蔵保管を推奨しております。使用時に変色・変臭・分離がある場合は使用を中止してください。,2025-11-15
FAQ-019,スキンケア相談,肌質の見分け方,ご自身の肌質を知ることは、最適なスキンケア選びの第一歩です。洗顔後、何もつけずに15分程度放置してみてください。（1）全体的にツッパリ感があり乾燥する→乾燥肌（2）Tゾーンはテカるが頬は乾燥する→混合肌（3）全体的にテカリ・べたつきがある→脂性肌（4）特に不快感がない→普通肌（5）赤み・ヒリヒリ感がある→敏感肌の可能性があります。季節や体調によっても変化しますので、定期的にチェックすることをおすすめします。当店の「肌質診断」ツールもぜひご利用ください。,2025-04-25
FAQ-020,スキンケア相談,基本のスキンケアルーティン,効果的なスキンケアの基本ステップをご紹介します。【朝】（1）洗顔料で優しく洗顔（2）化粧水で保水（3）美容液で集中ケア（4）乳液またはクリームで保湿（5）日焼け止めで紫外線防御。【夜】（1）クレンジングでメイク落とし（2）洗顔料でダブル洗顔（3）化粧水で保水（4）美容液で集中ケア（5）乳液またはクリームで保湿。週1〜2回のスペシャルケアとして、フェイスマスクやピーリングを取り入れるとより効果的です。各ステップの間は、前の製品が肌になじんでから次の製品を使いましょう。,2025-05-20
FAQ-021,スキンケア相談,季節別スキンケアのポイント,季節に合わせたスキンケアの調整が美肌の秘訣です。【春】花粉やPM2.5対策として、バリア機能を強化する保湿ケアを。敏感になりやすい時期なので、低刺激処方がおすすめ。【夏】紫外線対策を最優先に。さっぱりとした化粧水に切り替え、皮脂コントロール成分配合の製品を。【秋】夏のダメージ回復として、美白美容液やビタミンC配合製品で集中ケア。保湿を徐々に強化。【冬】高保湿タイプのクリームやバームで乾燥対策。セラミド配合の製品がおすすめです。加湿器の併用も効果的です。,2025-12-01
FAQ-022,スキンケア相談,エイジングケアの始め方,エイジングケアは早めのスタートが鍵です。20代後半から予防的なケアを始めることをおすすめします。【20代後半〜30代】保湿強化とビタミンC美容液で予防ケア。日焼け止めの徹底が最も重要なエイジングケアです。【30代〜40代】レチノール配合の美容液でターンオーバーを促進。ヒアルロン酸やコラーゲン配合のクリームでハリ・弾力ケアを。【40代以降】ナイアシンアミドやペプチド配合の高機能美容液を投入。目元・口元の集中ケアも取り入れましょう。当店では年代別のおすすめセットもご用意しております。,2026-01-05
FAQ-023,スキンケア相談,ニキビ・肌荒れ対策,ニキビや肌荒れでお悩みの方への対策をご案内します。（1）洗顔は1日2回まで、ぬるま湯で優しく洗いましょう。過度な洗顔は逆効果です。（2）ノンコメドジェニック処方の化粧品を選びましょう（当店では「NC」マークで表示）。（3）油分の多いクリームは避け、ジェルタイプの保湿剤がおすすめです。（4）サリチル酸やグリコール酸配合の製品で毛穴ケアを。（5）炎症がひどい場合はグリチルリチン酸配合の鎮静ケアを。症状が改善しない場合は皮膚科の受診をおすすめします。当店の「トラブルケア」カテゴリもぜひご覧ください。,2026-02-10
FAQ-024,スキンケア相談,敏感肌向けの化粧品選び,敏感肌の方が化粧品を選ぶ際のポイントをお伝えします。（1）成分数が少ないシンプルな処方を選ぶ（2）アルコール（エタノール）フリーを選ぶ（3）無香料・無着色の製品を優先する（4）パラベンフリー、鉱物油フリーの製品を検討する（5）セラミドやスクワランなどバリア機能を強化する成分配合を選ぶ。当店では「敏感肌対応」フィルターで商品を絞り込めます。また、初めてお試しの方向けにミニサイズ・トライアルセットもご用意しております。まずは少量から試して、肌との相性を確認してください。,2026-03-01
FAQ-025,ポイント・会員,ポイント制度について,お買い物100円（税抜）ごとに1ポイントが貯まります。貯まったポイントは1ポイント＝1円としてお買い物にご利用いただけます。ポイントの有効期限は最終ご利用日から1年間です。お買い物だけでなく、商品レビュー投稿で50ポイント、お誕生日月には500ポイントのボーナスポイントも進呈しております。なお、ポイント利用分にはポイントは付与されません。ポイント残高はマイページの「ポイント履歴」でご確認いただけます。キャンペーン期間中はポイント倍率がアップすることもございます。,2025-04-05
FAQ-026,ポイント・会員,会員ランク制度について,"年間のお買い物金額に応じて会員ランクが決定します。【レギュラー】年間購入額0円〜（基本ポイント1倍）【シルバー】年間3万円以上（ポイント1.5倍、誕生日クーポン1,000円）【ゴールド】年間10万円以上（ポイント2倍、送料常時無料、誕生日クーポン2,000円、先行セール参加権）【プラチナ】年間30万円以上（ポイント3倍、送料常時無料、誕生日クーポン5,000円、先行セール参加権、限定商品購入権、パーソナルカウンセリング）。ランクの判定は毎年4月1日に行われ、前年度4月〜3月の購入実績で決定します。",2025-05-28
FAQ-027,ポイント・会員,ポイントの有効期限について,ポイントの有効期限は、最終のポイント獲得日またはポイント利用日から1年間です。期限切れの3ヶ月前、1ヶ月前、1週間前にメールでお知らせいたします。有効期限を延長するには、お買い物またはレビュー投稿でポイントを獲得するか、1ポイント以上をお買い物にご利用ください。これにより全保有ポイントの有効期限がリセットされます。なお、キャンペーンで獲得した期間限定ポイントについては、別途有効期限が設定されている場合がございます。マイページの「ポイント履歴」で各ポイントの有効期限をご確認いただけます。,2025-06-15
FAQ-028,ポイント・会員,会員登録のメリット,会員登録（無料）をすると、以下の特典をご利用いただけます。（1）ポイントが貯まる・使える（2）注文履歴の確認・再注文が簡単（3）お届け先の保存で注文がスムーズ（4）お気に入り商品リストの作成（5）入荷通知・値下げ通知の受信（6）会員限定セールへの参加（7）商品レビューの投稿でポイント獲得（8）肌質に合わせたおすすめ商品の表示（9）お誕生日特典（500ポイント進呈）。ご登録はメールアドレスのみで完了し、SNSアカウント（LINE、Google）でのログインにも対応しております。,2025-07-20
FAQ-029,ポイント・会員,退会について,退会をご希望の場合は、マイページの「アカウント設定」→「退会手続き」から行えます。退会の際、以下の点にご注意ください。（1）保有ポイントはすべて失効します（2）注文履歴の閲覧ができなくなります（3）定期購入中の商品がある場合は先に解約が必要です（4）未配送の注文がある場合は配送完了後に退会手続きを行ってください（5）退会後30日以内であれば、カスタマーサポートにて復旧が可能です。再入会の場合、以前のポイントやランクは引き継がれませんのでご了承ください。,2025-08-30
FAQ-030,ポイント・会員,メールマガジンの配信設定,メールマガジンの配信設定は、マイページの「通知設定」から変更いただけます。配信カテゴリは以下の通りです。（1）新商品・再入荷情報（週1回）（2）セール・キャンペーン情報（不定期）（3）スキンケアコラム・美容情報（月2回）（4）ポイント期限リマインダー（該当時のみ）（5）お気に入り商品の値下げ通知（該当時のみ）。各カテゴリごとにオン・オフの切り替えが可能です。LINEでの通知をご希望の場合は、LINE公式アカウントの友だち追加後、マイページとのID連携を行ってください。,2025-09-20
